Region,Resultat,År,Barnfattigdomsindex
14,1+2,2009,12.5
14,1+2,2008,11.1
1401,3,2019,19.9
1401,3,2018,19.6
1401,3,2017,18.8
1401,3,2016,18.1
1401,3,2015,17.2
1401,3,2014,16.9
1401,3,2013,16.7
1401,3,2012,16.4
1401,3,2011,16.5
1401,3,2010,16.3
1401,3,2009,16.0
1401,3,2008,16.2
1401,1,2019,10.1
1401,1,2018,12.2
1401,1,2017,13.4
1401,1,2016,11.3
1401,1,2015,10.9
1401,1,2014,12.4
1401,1,2013,12.0
1401,1,2012,11.3
1401,1,2011,14.6
1401,1,2010,14.1
1401,1,2009,14.3
1401,1,2008,15.1
1401,2,2019,1.2
1401,2,2018,1.3
1401,2,2017,1.8
1401,2,2016,1.6
1401,2,2015,1.9
1401,2,2014,1.9
1401,2,2013,2.4
1401,2,2012,2.1
1401,2,2011,2.8
1401,2,2010,3.5
1401,2,2009,3.1
1401,2,2008,2.8
1401,1+2,2019,3.0
1401,1+2,2018,3.5
1401,1+2,2017,3.9
1401,1+2,2016,3.4
1401,1+2,2015,3.5
1401,1+2,2014,3.7
1401,1+2,2013,4.0
1401,1+2,2012,3.6
1401,1+2,2011,4.8
1401,1+2,2010,5.2
1401,1+2,2009,4.9
1401,1+2,2008,4.8
1402,3,2019,31.7
1402,3,2018,30.9
1402,3,2017,29.4
1402,3,2016,28.1
1402,3,2015,26.4
1402,3,2014,25.3
1402,3,2013,24.5
1402,3,2012,24.2
1402,3,2011,23.8
1402,3,2010,23.5
1402,3,2009,23.4
1402,3,2008,22.8
1402,1,2019,13.3
1402,1,2018,14.3
1402,1,2017,14.2
1402,1,2016,13.7
1402,1,2015,12.4
1402,1,2014,14.3
1402,1,2013,14.1
1402,1,2012,14.5
1402,1,2011,14.1
1402,1,2010,15.1
1402,1,2009,17.1
1402,1,2008,15.6
1402,2,2019,1.4
1402,2,2018,1.5
1402,2,2017,1.7
1402,2,2016,2.1
1402,2,2015,2.1
1402,2,2014,2.6
1402,2,2013,2.4
1402,2,2012,2.7
1402,2,2011,2.9
1402,2,2010,3.5
1402,2,2009,3.9
1402,2,2008,3.4
1402,1+2,2019,5.1
1402,1+2,2018,5.4
1402,1+2,2017,5.4
1402,1+2,2016,5.4
1402,1+2,2015,4.8
1402,1+2,2014,5.5
1402,1+2,2013,5.3
1402,1+2,2012,5.6
1402,1+2,2011,5.6
1402,1+2,2010,6.2
1402,1+2,2009,7.0
1402,1+2,2008,6.1
1407,3,2019,14.2
1407,3,2018,13.7
1407,3,2017,12.5
1407,3,2016,10.9
1407,3,2015,9.5
1407,3,2014,9.5
1407,3,2013,9.2
1407,3,2012,8.9
1407,3,2011,8.3
1407,3,2010,7.8
1407,3,2009,7.5
1407,3,2008,7.4
1407,1,2019,20.5
1407,1,2018,20.3
1407,1,2017,16.1
1407,1,2016,21.6
1407,1,2015,13.2
1407,1,2014,15.3
1407,1,2013,15.3
1407,1,2012,13.6
1407,1,2011,11.7
1407,1,2010,11.3
1407,1,2009,14.2
1407,1,2008,15.0
1407,2,2019,1.7
1407,2,2018,2.3
1407,2,2017,3.1
1407,2,2016,2.8
1407,2,2015,3.2
1407,2,2014,2.9
1407,2,2013,3.9
1407,2,2012,3.9
1407,2,2011,3.8
1407,2,2010,4.4
1407,2,2009,4.8
1407,2,2008,4.0
1407,1+2,2019,4.4
1407,1+2,2018,4.7
1407,1+2,2017,4.7
